unix_time,datetime,cpu_usage_percent,temperature_c,cpu_freq_mhz
1520605927.6962745,2018-03-09 14:32:07,50.87,48.5,2400.0
1520605928.7002614,2018-03-09 14:32:08,44.91,48.5,2400.0
1520605929.7008917,2018-03-09 14:32:09,41.21,47.4,2400.0
1520605930.7023351,2018-03-09 14:32:10,45.89,46.3,1500.0
1520605931.7037582,2018-03-09 14:32:11,56.17,46.85,2200.0
1520605932.7048879,2018-03-09 14:32:12,59.06,47.95,2400.0
1520605933.7064157,2018-03-09 14:32:13,55.5,48.5,2400.0
1520605934.7090366,2018-03-09 14:32:14,50.13,47.95,2400.0
1520605935.7118845,2018-03-09 14:32:15,43.86,48.5,2400.0
1520605936.712891,2018-03-09 14:32:16,39.9,47.4,2400.0
1520605937.7143106,2018-03-09 14:32:17,46.98,46.3,1500.0
1520605938.7157345,2018-03-09 14:32:18,57.5,46.3,1500.0
1520605939.7170837,2018-03-09 14:32:19,50.87,47.95,2400.0
1520605940.7208984,2018-03-09 14:32:20,47.51,47.95,2400.0
1520605941.7223494,2018-03-09 14:32:21,45.48,49.6,2400.0
1520605942.7237852,2018-03-09 14:32:22,43.39,48.5,2400.0
1520605943.7248933,2018-03-09 14:32:23,39.29,47.4,1700.0
1520605944.7266078,2018-03-09 14:32:24,49.0,46.85,1500.0
1520605945.7280755,2018-03-09 14:32:25,56.47,48.5,2400.0
1520605946.7288864,2018-03-09 14:32:26,53.62,47.4,2400.0
1520605947.7303016,2018-03-09 14:32:27,46.37,47.4,2400.0
1520605948.7320654,2018-03-09 14:32:28,48.63,48.5,2400.0
1520605949.7353766,2018-03-09 14:32:29,44.75,47.95,2400.0
1520605950.7368934,2018-03-09 14:32:30,39.15,46.85,2200.0
1520605951.738772,2018-03-09 14:32:31,56.71,46.85,2400.0
1520605952.740126,2018-03-09 14:32:32,56.78,46.3,2400.0
1520605953.7411294,2018-03-09 14:32:33,47.63,49.05,2400.0
1520605954.7447138,2018-03-09 14:32:34,49.75,48.5,2400.0
1520605955.7463105,2018-03-09 14:32:35,45.59,49.05,2400.0
1520605956.7504056,2018-03-09 14:32:36,42.21,47.95,2400.0
1520605957.7518976,2018-03-09 14:32:37,43.39,47.4,2400.0
1520605958.7546046,2018-03-09 14:32:38,53.1,46.85,1500.0
1520605959.7560418,2018-03-09 14:32:39,57.96,47.95,2400.0
1520605960.7570784,2018-03-09 14:32:40,47.0,48.5,2400.0
1520605961.7626767,2018-03-09 14:32:41,51.5,48.5,2400.0
1520605962.7651567,2018-03-09 14:32:42,44.28,47.4,2400.0
1520605963.7686245,2018-03-09 14:32:43,44.25,48.5,2400.0
1520605964.7701578,2018-03-09 14:32:44,43.67,47.4,2400.0
1520605965.772788,2018-03-09 14:32:45,53.73,46.3,1500.0
1520605966.7742326,2018-03-09 14:32:46,56.5,47.4,2400.0
1520605967.7757628,2018-03-09 14:32:47,55.0,48.5,2400.0
1520605968.7786803,2018-03-09 14:32:48,49.38,49.05,2400.0
1520605969.7818594,2018-03-09 14:32:49,50.12,48.5,2400.0
1520605970.7847605,2018-03-09 14:32:50,40.0,48.5,2400.0
1520605971.7861507,2018-03-09 14:32:51,42.71,47.95,2400.0
1520605972.7876217,2018-03-09 14:32:52,55.67,47.4,2400.0
1520605973.7888837,2018-03-09 14:32:53,61.0,48.5,2400.0
1520605974.790249,2018-03-09 14:32:54,60.49,49.05,2400.0
1520605975.7919211,2018-03-09 14:32:55,55.3,49.6,2400.0
1520605976.7929456,2018-03-09 14:32:56,53.9,49.05,2400.0
1520605977.7946665,2018-03-09 14:32:57,58.9,49.05,2400.0
1520605978.7984645,2018-03-09 14:32:58,52.25,49.6,2400.0
1520605979.800891,2018-03-09 14:32:59,51.88,49.6,2400.0
1520605980.8023872,2018-03-09 14:33:00,52.64,49.6,2400.0
1520605981.8045344,2018-03-09 14:33:01,59.25,50.15,2400.0
1520605982.805895,2018-03-09 14:33:02,60.4,49.05,2400.0
1520605983.8072925,2018-03-09 14:33:03,58.33,49.05,2400.0
